fan_control 2025-11-12 23:14:07 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:14:07 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:14:07 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:14:07 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:14:07 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:14:07 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:14:07 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:14:07 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:14:07 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:14:48 - Starte Soft-Lüftersteuerung
fan_control 2025-11-12 23:14:48 - === DELL_SMM_HWMON DIAGNOSE ===
fan_control 2025-11-12 23:14:48 - INFO: dell_smm_hwmon-Modul geladen
fan_control 2025-11-12 23:14:48 - INFO: Verfügbare Dateien: 
fan_control 2025-11-12 23:14:48 - BEGRENZT: Nur Temperatursensoren - EC blockierte Lüfter
fan_control 2025-11-12 23:14:48 - === ENDE DER DIAGNOSE ===
fan_control 2025-11-12 23:14:48 - ERFOLG: PWM-Steuerung ab Start verfügbar
fan_control 2025-11-12 23:14:48 - Verwende temporäre Datei: /sys/devices/platform/coretemp.0/hwmon/hwmon2/temp1_input
fan_control 2025-11-12 23:14:48 - Verwende PWM-Datei: /sys/devices/platform/dell_smm_hwmon/hwmon/hwmon3/pwm1
fan_control 2025-11-12 23:14:48 - Temp: 42°C (Δ+42°C), PWM: 110
fan_control 2025-11-12 23:14:50 - Temp: 48°C (Δ+6°C), PWM: 255
fan_control 2025-11-12 23:14:52 - Temp: 49°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:14:54 - Temp: 50°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:14:56 - Temp: 51°C (Δ+1°C), PWM: 255
fan_control 2025-11-12 23:14:58 - Temp: 49°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:15:00 - Temp: 48°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:15:02 - Temp: 55°C (Δ+7°C), PWM: 130
fan_control 2025-11-12 23:15:04 - Temp: 51°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:15:06 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:15:08 - Temp: 52°C (Δ+2°C), PWM: 255
fan_control 2025-11-12 23:15:10 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:15:12 - Temp: 50°C (Δ+0°C), PWM: 255
fan_control 2025-11-12 23:15:14 - Temp: 44°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:16 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:18 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:20 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:22 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:24 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:26 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:28 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:30 - Temp: 44°C (Δ+2°C), PWM: 110
fan_control 2025-11-12 23:15:32 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:34 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:36 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:38 - Temp: 42°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:40 - Temp: 43°C (Δ+1°C), PWM: 110
fan_control 2025-11-12 23:15:42 - Temp: 43°C (Δ+0°C), PWM: 110
fan_control 2025-11-12 23:15:44 - Temp: 48°C (Δ+5°C), PWM: 255
